evidence_id,entity_id,entity_type,entity_review_status,source_id,source_type,source_status,source_path,parsed_path,cleaned_path,chunk_count,chunk_sample_ids,case_observation_count,generated_by
anomaly_subprefix_hijack__rfc6811,anomaly_subprefix_hijack,AnomalyType,approved,rfc6811,standard,complete_deterministic,raw/standards/rfc6811.txt,parsed/standards/rfc6811.json,cleaned/standards/rfc6811.md,15,rfc6811_s001_1_001|rfc6811_s008_6_001|rfc6811_s003_2_001|rfc6811_s001_1_002|rfc6811_s006_4_001|rfc6811_s001_1_003|rfc6811_s003_2_003|rfc6811_s004_2_1_001|rfc6811_s005_3_001|rfc6811_s009_7_001|rfc6811_s010_8_1_001|rfc6811_s011_8_2_001|rfc6811_s002_1_1_001|rfc6811_s003_2_002|rfc6811_s007_5_001,0,scripts/build_entity_source_evidence.py
concept_announcement__context_2026,concept_announcement,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_as_path_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
concept_announcement__rfc4271,concept_announcement,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s011_3_2_001|rfc4271_s045_8_001|rfc4271_s060_9_1_001|rfc4271_s076_10_003|rfc4271_s004_10_001|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002|rfc4271_s008_2_001|rfc4271_s009_3_001|rfc4271_s009_3_003|rfc4271_s009_3_004|rfc4271_s010_3_1_001|rfc4271_s011_3_2_002|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001,0,scripts/build_entity_source_evidence.py
concept_as__context_2026,concept_as,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_scope_001|context_2026_as_path_001|context_2026_datasource_001|context_2026_route_leak_001,0,scripts/build_entity_source_evidence.py
concept_as__rfc4271,concept_as,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002|rfc4271_s009_3_001|rfc4271_s014_4_2_001|rfc4271_s015_4_3_001|rfc4271_s021_2_001|rfc4271_s029_5_1_2_001|rfc4271_s029_5_1_2_002|rfc4271_s037_6_2_001|rfc4271_s038_6_3_002|rfc4271_s058_8_2_2_004|rfc4271_s058_8_2_2_007|rfc4271_s058_8_2_2_010|rfc4271_s062_9_1_2_001|rfc4271_s064_9_1_2_2_001|rfc4271_s067_9_2_001|rfc4271_s069_9_2_1_1_001|rfc4271_s070_9_2_1_2_001,0,scripts/build_entity_source_evidence.py
concept_as_path__bear_2025,concept_as_path,BGPConcept,approved,bear_2025,paper,complete_deterministic,raw/papers/bear_2025.pdf,parsed/papers/bear_2025.json,cleaned/papers/bear_2025.md,33,bear_2025_s002_page_2_002|bear_2025_s002_page_2_003|bear_2025_s003_page_3_001|bear_2025_s003_page_3_002|bear_2025_s004_page_4_001|bear_2025_s004_page_4_002|bear_2025_s004_page_4_003|bear_2025_s005_page_5_001|bear_2025_s005_page_5_002|bear_2025_s006_page_6_001|bear_2025_s006_page_6_002|bear_2025_s008_page_8_001|bear_2025_s008_page_8_002|bear_2025_s001_page_1_001|bear_2025_s001_page_1_002|bear_2025_s001_page_1_003|bear_2025_s002_page_2_001|bear_2025_s003_page_3_003|bear_2025_s003_page_3_004|bear_2025_s005_page_5_003,0,scripts/build_entity_source_evidence.py
concept_as_path__context_2026,concept_as_path,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_as_path_001|context_2026_route_leak_001|context_2026_paper_bear_001|context_2026_datasource_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
concept_as_path__rfc4271,concept_as_path,BGPConcept,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s076_10_003|rfc4271_s081_6_009|rfc4271_s004_10_001|rfc4271_s019_2_001|rfc4271_s024_6_001|rfc4271_s026_4_002|rfc4271_s029_5_1_2_001|rfc4271_s029_5_1_2_002|rfc4271_s033_5_1_6_001|rfc4271_s038_6_3_002|rfc4271_s062_9_1_2_001|rfc4271_s064_9_1_2_2_001|rfc4271_s064_9_1_2_2_002|rfc4271_s066_9_1_4_002|rfc4271_s072_9_2_2_1_001|rfc4271_s073_9_2_2_2_001|rfc4271_s073_9_2_2_2_002|rfc4271_s073_9_2_2_2_003,0,scripts/build_entity_source_evidence.py
concept_as_relationship__caida_as_relationships,concept_as_relationship,BGPConcept,approved,caida_as_relationships,data_doc,complete_deterministic,raw/data_docs/caida_as_relationships.html,parsed/data_docs/caida_as_relationships.json,cleaned/data_docs/caida_as_relationships.md,15,caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_014|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_008,0,scripts/build_entity_source_evidence.py
concept_as_relationship__context_2026,concept_as_relationship,BGPConcept,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_route_leak_001|context_2026_scope_001|context_2026_paper_bear_001|context_2026_as_path_001|context_2026_datasource_001,0,scripts/build_entity_source_evidence.py
