artifact_path,artifact_group,extension,size_bytes,line_count,is_binary,sha256,generated_by
parsed/papers/oscilloscope_2023.json,parsed,.json,104920,108,False,42724e5930f0b4ba7e83996406d606f0ff8f46a7075c50b06cf1165fd1b0c23e,scripts/parse_documents.py
parsed/papers/peerlock_2020.json,parsed,.json,79385,88,False,b53cf6d1aa195db49179cbe9a310fa5046a48ed6c8dcc0cdc6931b6963e196bd,scripts/parse_documents.py
parsed/papers/practical_defenses_2007.json,parsed,.json,2987,13,False,83ebf0f8b5d4371eae6435a6d6d406f1b84e67ca98362cffb7204ce3ec482540,scripts/parse_documents.py
parsed/standards/rfc2622.json,parsed,.json,125018,198,False,eaea06d8ce5cc73ea3fb246bd531252b3abf3f8627adb02ddf3e3427dc70abeb,scripts/parse_documents.py
parsed/standards/rfc3912.json,parsed,.json,6785,48,False,27085fd477afe96897926dfe4754e92569b93c9d294d16f709adba00f99f672e,scripts/parse_documents.py
parsed/standards/rfc4271.json,parsed,.json,191442,423,False,5d52c791c6138c616db4e5ca19d5b82a28d331edd4c072ba53ac98ed8204e4df,scripts/parse_documents.py
parsed/standards/rfc6480.json,parsed,.json,55279,213,False,dc3812a1353675c27dffd141a009311112c233aad3a86840ffff205b57392bcf,scripts/parse_documents.py
parsed/standards/rfc6811.json,parsed,.json,16256,83,False,19f6ea323e8c71c5ddb58b8d4810e0c1a46c325646efebc82343afe1f7b7cc71,scripts/parse_documents.py
parsed/standards/rfc7908.json,parsed,.json,20173,93,False,03edbb457ab0a267bd24f7d688da19ef1ffb771cc354e3f150b56d06323a5416,scripts/parse_documents.py
parsed/standards/rfc8205.json,parsed,.json,103545,278,False,657328ad95c4135e2af8d45cf7ab6e3647b18abc69c3f56a65458d46b0f40f82,scripts/parse_documents.py
parsed/standards/rfc8210.json,parsed,.json,64954,218,False,919d8d7d6ddca0dfb6b474a10883c76e2b693f146fc96f097a54c9c0c7fed67c,scripts/parse_documents.py
parsed/standards/rfc9082.json,parsed,.json,41558,153,False,3d1bea349b1338a07d13310e926a89a48f9acae50099f995b60984c58f551752,scripts/parse_documents.py
parsed/standards/rfc9083.json,parsed,.json,105134,283,False,5e8c306396cbe1965b6b98e09ed25432360d82dbb3073c8e5346182c2d5c3496,scripts/parse_documents.py
parsed/standards/rfc9234.json,parsed,.json,25238,138,False,ad5fea9b6ca8b0e2605932cf158d5cc53adba737d4fe72209edf7bda442401a3,scripts/parse_documents.py
published/README.md,published,.md,2601,51,False,1984fc69589cc28e7335ca72ffa98888b5ae06b601acb7446c3ca51766d01b26,scripts/build_published_knowledge_base.py
published/bge_m3_embedding_manifest.json,published,.json,491,18,False,9a67122895cbd1a8832c568686a7614ccff9695b399c610f4e05c2fcae8845b3,scripts/build_bge_m3_index.py
published/bge_m3_vector_index.jsonl,published,.jsonl,55186992,2269,False,0999b433fc6e3d996528c4aebe268ccd1c91dc83472c23e81f636e5b89b254bf,scripts/build_bge_m3_index.py
published/bgp_knowledge_base.sqlite,published,.sqlite,12963840,0,True,c1c3c40eb3426d8247dd2e9b2b63b865d107f3893e6162ee188a0c9cb840d777,scripts/build_sqlite_knowledge_base.py
